Category,Layer,Index1,Index2,Value
actor_W1,Layer1,3,8,0.0311207
actor_W1,Layer1,3,9,-0.211607
actor_W1,Layer1,3,10,-0.23729
actor_W1,Layer1,3,11,0.191431
actor_W1,Layer1,3,12,0.211635
actor_W1,Layer1,3,13,0.114672
actor_W1,Layer1,3,14,0.17306
actor_W1,Layer1,3,15,0.172136
actor_W1,Layer1,3,16,0.210563
actor_W1,Layer1,3,17,-0.121531
actor_W1,Layer1,3,18,0.0224328
actor_W1,Layer1,3,19,-0.0841405
actor_W1,Layer1,3,20,0.00726326
actor_W1,Layer1,3,21,-0.0340766
actor_W1,Layer1,3,22,-0.187311
actor_W1,Layer1,3,23,0.179083
actor_W1,Layer1,3,24,-0.123724
actor_W1,Layer1,3,25,0.0350272
actor_W1,Layer1,3,26,-0.0208188
actor_W1,Layer1,3,27,-0.191659
actor_W1,Layer1,3,28,0.0460587
actor_W1,Layer1,3,29,0.155176
actor_W1,Layer1,3,30,0.046633
actor_W1,Layer1,3,31,0.16801
actor_W1,Layer1,3,32,0.107274
actor_W1,Layer1,3,33,0.265991
actor_W1,Layer1,3,34,0.140141
actor_W1,Layer1,3,35,-0.031109
actor_W1,Layer1,4,0,0.0769564
actor_W1,Layer1,4,1,-0.110921
actor_W1,Layer1,4,2,-0.146264
actor_W1,Layer1,4,3,-0.132856
actor_W1,Layer1,4,4,0.0653784
actor_W1,Layer1,4,5,0.115752
actor_W1,Layer1,4,6,-0.150503
actor_W1,Layer1,4,7,-0.129594
actor_W1,Layer1,4,8,0.209575
actor_W1,Layer1,4,9,0.233155
actor_W1,Layer1,4,10,-0.0249387
actor_W1,Layer1,4,11,0.169024
actor_W1,Layer1,4,12,0.169474
actor_W1,Layer1,4,13,-0.119159
actor_W1,Layer1,4,14,-0.125335
actor_W1,Layer1,4,15,-0.21536
actor_W1,Layer1,4,16,-0.0599726
actor_W1,Layer1,4,17,0.0691579
actor_W1,Layer1,4,18,0.0703489
actor_W1,Layer1,4,19,0.115071
actor_W1,Layer1,4,20,0.0190953
actor_W1,Layer1,4,21,0.0889817
actor_W1,Layer1,4,22,0.128356
actor_W1,Layer1,4,23,-0.190705
actor_W1,Layer1,4,24,0.151842
actor_W1,Layer1,4,25,-0.0161023
actor_W1,Layer1,4,26,0.00920404
actor_W1,Layer1,4,27,0.192889
actor_W1,Layer1,4,28,-0.192609
actor_W1,Layer1,4,29,0.208622
actor_W1,Layer1,4,30,0.0635043
actor_W1,Layer1,4,31,0.14088
actor_W1,Layer1,4,32,-0.19828
actor_W1,Layer1,4,33,-0.146027
actor_W1,Layer1,4,34,-0.0110745
actor_W1,Layer1,4,35,-0.115364
actor_W1,Layer1,5,0,0.237262
actor_W1,Layer1,5,1,-0.17757
actor_W1,Layer1,5,2,-0.0552372
actor_W1,Layer1,5,3,0.0700278
actor_W1,Layer1,5,4,-0.18591
actor_W1,Layer1,5,5,0.158926
actor_W1,Layer1,5,6,0.048085
actor_W1,Layer1,5,7,0.249785
actor_W1,Layer1,5,8,-0.0634328
actor_W1,Layer1,5,9,-0.0805086
actor_W1,Layer1,5,10,-0.0134263
actor_W1,Layer1,5,11,-0.131926
actor_W1,Layer1,5,12,0.0852186
actor_W1,Layer1,5,13,0.133212
actor_W1,Layer1,5,14,0.242604
actor_W1,Layer1,5,15,0.0354526
actor_W1,Layer1,5,16,0.107967
actor_W1,Layer1,5,17,-0.0994252
actor_W1,Layer1,5,18,0.211626
actor_W1,Layer1,5,19,0.0750598
actor_W1,Layer1,5,20,0.275747
actor_W1,Layer1,5,21,-0.0575301
actor_W1,Layer1,5,22,0.144756
actor_W1,Layer1,5,23,0.247553
